Ottoneu ID,Name,FG ID,FG Minor ID,MLBAM ID,Birthday,Positions,Bats,Throws,Last Check,Confidence,wOBA,vs LHP,vs RHP,q1,q2,q3,q4,q5
23752,Josh Lowe,19953,sa917926,666139,2 Feb 1998,OF,L,R,18 Jun 2025,Projection,0.320,0.283,0.330,,,,,
23762,Jazz Chisholm Jr.,20454,sa919327,665862,1 Feb 1998,3B/OF,L,R,18 Jun 2025,Projection,0.325,0.291,0.338,,,,,
23767,Bo Bichette,19612,sa917949,666182,5 Mar 1998,SS,R,R,18 Jun 2025,Projection,0.334,0.343,0.323,,,,,
23780,Luis Robert Jr.,20043,sa3003396,673357,3 Aug 1997,OF,R,R,18 Jun 2025,Projection,0.312,0.322,0.292,,,,,
23788,TJ Friedl,19522,sa943754,670770,14 Aug 1995,OF,L,L,18 Jun 2025,Projection,0.320,0.297,0.336,,,,,
23793,Brent Rooker,19627,sa3003172,667670,1 Nov 1994,OF,R,R,18 Jun 2025,Projection,0.352,0.361,0.345,,,,,
23795,Yordan Alvarez,19556,sa943524,670541,27 Jun 1997,OF,L,R,18 Jun 2025,Projection,0.406,0.370,0.407,,,,,
23796,Royce Lewis,20437,sa3004259,668904,5 Jun 1999,3B,R,R,18 Jun 2025,Projection,0.341,0.350,0.325,,,,,
23808,Pavin Smith,19892,sa829595,656976,6 Feb 1996,1B/OF,L,L,18 Jun 2025,Projection,0.327,0.293,0.329,,,,,
23825,Bryan Reynolds,19326,sa873683,668804,27 Jan 1995,OF,B,R,18 Jun 2025,Projection,0.336,0.321,0.329,,,,,
23831,Isaac Paredes,20036,sa920275,670623,18 Feb 1999,1B/3B,R,R,18 Jun 2025,Projection,0.342,0.348,0.348,,,,,
23833,Daulton Varsho,19918,sa3002838,662139,2 Jul 1996,OF,L,R,18 Jun 2025,Projection,0.309,0.282,0.315,,,,,
23840,Randy Arozarena,19290,sa914549,668227,28 Feb 1995,OF,R,R,18 Jun 2025,Projection,0.335,0.344,0.324,,,,,
23856,Anthony Santander,14551,sa659463,623993,19 Oct 1994,OF,B,R,18 Jun 2025,Projection,0.339,0.326,0.329,,,,,
23859,Pete Alonso,19251,sa873981,624413,7 Dec 1994,1B,R,R,18 Jun 2025,Projection,0.347,0.353,0.351,,,,,
23868,Brandon Marsh,20202,sa917944,669016,18 Dec 1997,OF,L,R,18 Jun 2025,Projection,0.319,0.280,0.330,,,,,
26099,Iván Herrera,20599,sa3003191,671056,1 Jun 2000,C,R,R,18 Jun 2025,Projection,0.336,0.341,0.338,,,,,
26134,Gabriel Moreno,22664,sa3003226,672515,14 Feb 2000,C,R,R,18 Jun 2025,Projection,0.338,0.341,0.328,,,,,
26154,Maikel Garcia,22715,sa3003246,672580,3 Mar 2000,2B/3B,R,R,18 Jun 2025,Projection,0.300,0.309,0.305,,,,,
26198,Geraldo Perdomo,22799,sa3003290,672695,22 Oct 1999,SS,B,R,18 Jun 2025,Projection,0.311,0.312,0.324,,,,,
26292,Yainer Díaz,23003,sa3003386,673237,21 Sep 1998,C/1B,R,R,18 Jun 2025,Projection,0.334,0.337,0.318,,,,,
26570,Otto Lopez,19608,sa3004268,672640,1 Oct 1998,2B/SS,R,R,18 Jun 2025,Projection,0.315,0.318,0.312,,,,,
26783,Jake Meyers,20308,sa3004621,676694,18 Jun 1996,OF,R,L,18 Jun 2025,Projection,0.303,0.312,0.304,,,,,
26857,Mark Vientos,22184,sa3004720,668901,11 Dec 1999,3B,R,R,18 Jun 2025,Projection,0.341,0.346,0.326,,,,,
27058,Wilyer Abreu,23772,sa3005082,677800,24 Jun 1999,OF,L,L,18 Jun 2025,Projection,0.325,0.293,0.334,,,,,
27207,Alejandro Kirk,22581,sa3005337,672386,6 Nov 1998,C,R,R,18 Jun 2025,Projection,0.338,0.339,0.332,,,,,
31687,Sean Murphy,19352,sa873680,669221,4 Oct 1994,C,R,R,18 Jun 2025,Projection,0.324,0.326,0.317,,,,,
31703,Tommy Edman,19470,sa873704,669242,9 May 1995,SS/OF,B,R,18 Jun 2025,Projection,0.307,0.314,0.307,,,,,
31741,Brandon Lowe,18882,sa874181,664040,6 Jul 1994,1B/2B,L,R,18 Jun 2025,Projection,0.331,0.299,0.336,,,,,
31755,Jake Rogers,19452,sa874230,668670,18 Apr 1995,C,R,R,18 Jun 2025,Projection,0.291,0.302,0.289,,,,,
31853,Josh Rojas,19734,sa913302,668942,30 Jun 1994,2B/3B,L,R,18 Jun 2025,Projection,0.302,0.273,0.303,,,,,
31958,Ernie Clement,20352,sa915732,676391,22 Mar 1996,SS/3B,R,R,18 Jun 2025,Projection,0.313,0.316,0.309,,,,,
32087,Andrés Chaparro,21797,sa916976,665953,4 May 1999,1B/3B,R,R,18 Jun 2025,Projection,0.317,0.325,0.321,,,,,
32291,Oneil Cruz,21711,sa917318,665833,4 Oct 1998,SS/OF,L,R,18 Jun 2025,Projection,0.337,0.302,0.338,,,,,
32321,Miguel Amaya,21693,sa917354,665804,9 Mar 1999,C,R,R,18 Jun 2025,Projection,0.312,0.318,0.312,,,,,
32576,Gavin Lux,19955,sa917933,666158,23 Nov 1997,2B,L,R,18 Jun 2025,Projection,0.320,0.287,0.324,,,,,
32585,Jose Miranda,20538,sa917952,669304,29 Jun 1998,1B/3B,R,R,18 Jun 2025,Projection,0.327,0.327,0.315,,,,,
32711,Freddy Fermin,21840,sa918173,666023,16 May 1995,C,R,R,18 Jun 2025,Projection,0.307,0.315,0.300,,,,,
32765,Nathaniel Lowe,19566,sa918283,663993,7 Jul 1995,1B,L,R,18 Jun 2025,Projection,0.334,0.313,0.339,,,,,
33217,Jonathan Aranda,21837,sa919293,666018,23 May 1998,1B/2B,L,R,18 Jun 2025,Projection,0.334,0.301,0.348,,,,,
33548,Luis García Jr.,20391,sa962605,671277,16 May 2000,2B,L,R,18 Jun 2025,Projection,0.329,0.297,0.336,,,,,
33600,Shohei Ohtani,19755,,660271,5 Jul 1994,Util,L,R,18 Jun 2025,Projection,0.391,0.352,0.417,,,,,
33609,Alec Bohm,21618,sa3007284,664761,3 Aug 1996,1B/3B,R,R,18 Jun 2025,Projection,0.333,0.341,0.322,,,,,
33619,Jonathan India,21523,sa3008178,663697,15 Dec 1996,2B,R,R,18 Jun 2025,Projection,0.327,0.330,0.320,,,,,
33622,Trevor Larnach,21501,sa3008376,663616,26 Feb 1997,OF,L,R,18 Jun 2025,Projection,0.324,0.289,0.328,,,,,
33623,Nolan Gorman,22263,sa3007017,669357,10 May 2000,2B,L,R,18 Jun 2025,Projection,0.316,0.286,0.322,,,,,
33625,Julio Rodríguez,23697,sa3005720,677594,29 Dec 2000,OF,R,R,18 Jun 2025,Projection,0.357,0.358,0.344,,,,,
33627,Nico Hoerner,21479,sa3007867,663538,13 May 1997,2B/SS,R,R,18 Jun 2025,Projection,0.320,0.323,0.318,,,,,
33634,Brice Turang,22186,sa3008294,668930,21 Nov 1999,2B,L,R,18 Jun 2025,Projection,0.309,0.284,0.318,,,,,
33635,Richie Palacios,24589,sa3006908,680700,16 May 1997,2B/OF,L,R,18 Jun 2025,Projection,0.318,0.293,0.332,,,,,
33645,Xavier Edwards,22266,sa3007018,669364,9 Aug 1999,SS,B,R,18 Jun 2025,Projection,0.325,0.322,0.324,,,,,
33650,Brayan Rocchio,23690,sa3005898,677587,13 Jan 2001,SS,B,R,18 Jun 2025,Projection,0.310,0.306,0.306,,,,,
33651,Triston Casas,22514,sa3007634,671213,15 Jan 2000,1B,L,T,18 Jun 2025,Projection,0.348,0.316,0.341,,,,,
33652,Ryan Jeffers,24618,sa3007051,680777,3 Jun 1997,C,R,R,18 Jun 2025,Projection,0.325,0.331,0.316,,,,,
33654,Cal Raleigh,21534,sa3008377,663728,26 Nov 1996,C,B,R,18 Jun 2025,Projection,0.329,0.323,0.344,,,,,
33666,Matt Vierling,21558,sa3006781,663837,16 Sep 1996,3B/OF,R,R,18 Jun 2025,Projection,0.312,0.321,0.309,,,,,
33676,Bo Naylor,21865,sa3008247,666310,21 Feb 2000,C,L,R,18 Jun 2025,Projection,0.309,0.281,0.317,,,,,
33681,Alek Thomas,23792,sa3006892,677950,28 Apr 2000,OF,L,L,18 Jun 2025,Projection,0.318,0.286,0.310,,,,,
33685,Jarren Duran,24617,sa3006786,680776,5 Sep 1996,OF,L,R,18 Jun 2025,Projection,0.328,0.293,0.328,,,,,
33905,Jhonkensy Noel,24257,sa3005579,678877,15 Jul 2001,1B/OF,R,R,18 Jun 2025,Projection,0.321,0.332,0.295,,,,,
33907,Ceddanne Rafaela,24262,sa3005581,678882,18 Sep 2000,2B/SS/OF,R,R,18 Jun 2025,Projection,0.296,0.298,0.293,,,,,
33949,Andy Pages,24816,sa3005625,681624,8 Dec 2000,OF,R,R,18 Jun 2025,Projection,0.322,0.328,0.327,,,,,
34601,Lars Nootbaar,21454,sa3006649,663457,8 Sep 1997,OF,L,R,18 Jun 2025,Projection,0.349,0.318,0.349,,,,,
34619,Brendan Donovan,24679,sa3006675,680977,16 Jan 1997,2B/3B/OF,L,R,18 Jun 2025,Projection,0.341,0.312,0.356,,,,,
34788,Lawrence Butler,22542,sa3006873,671732,10 Jul 2000,OF,L,R,18 Jun 2025,Projection,0.335,0.308,0.329,,,,,
34804,Miguel Vargas,20178,sa3006896,678246,17 Nov 1999,3B/OF,R,R,18 Jun 2025,Projection,0.314,0.324,0.314,,,,,
34921,Jake McCarthy,21622,sa3007015,664983,30 Jul 1997,OF,L,L,18 Jun 2025,Projection,0.321,0.297,0.329,,,,,
35181,Logan O'Hoppe,24729,sa3007519,681351,9 Feb 2000,C,R,R,18 Jun 2025,Projection,0.317,0.324,0.298,,,,,
35628,Ezequiel Tovar,24064,sa3008239,678662,1 Aug 2001,SS,R,R,18 Jun 2025,Projection,0.297,0.302,0.292,,,,,
35824,Steven Kwan,24610,sa3008536,680757,5 Sep 1997,OF,L,L,18 Jun 2025,Projection,0.341,0.317,0.360,,,,,
35939,Jeremy Peña,21636,sa876320,665161,22 Sep 1997,SS,R,R,18 Jun 2025,Projection,0.316,0.326,0.317,,,,,
36048,Luisangel Acuña,26548,sa3008765,682668,12 Mar 2002,2B/SS/OF,R,R,18 Jun 2025,Projection,0.294,0.301,0.285,,,,,
36325,Agustín Ramírez,,sa3009276,682663,10 Sep 2001,C/1B,R,R,18 Jun 2025,Projection,0.299,0.307,0.304,,,,,
36338,Elly De La Cruz,26668,sa3009289,682829,11 Jan 2002,SS,B,R,18 Jun 2025,Projection,0.332,0.317,0.339,,,,,
36509,Riley Greene,25976,sa3010694,682985,28 Sep 2000,OF,L,L,18 Jun 2025,Projection,0.351,0.318,0.357,,,,,
36668,Bobby Witt Jr.,25764,sa3011225,677951,14 Jun 2000,SS,R,R,18 Jun 2025,Projection,0.370,0.367,0.354,,,,,
36669,Shea Langeliers,25816,sa3010329,669127,18 Nov 1997,C,R,R,18 Jun 2025,Projection,0.323,0.332,0.314,,,,,
36683,Anthony Volpe,27647,sa3010868,683011,28 Apr 2001,SS,R,R,18 Jun 2025,Projection,0.310,0.320,0.302,,,,,
36743,Joey Ortiz,25493,sa3009889,687401,14 Jul 1998,SS/3B,R,R,18 Jun 2025,Projection,0.322,0.325,0.304,,,,,
36782,Josh Smith,21510,sa3009923,663642,5 Feb 1997,Util,L,R,18 Jun 2025,Projection,0.313,0.288,0.329,,,,,
36803,Brenton Doyle,25479,sa3009965,686668,14 May 1998,OF,R,R,18 Jun 2025,Projection,0.293,0.303,0.276,,,,,
36922,CJ Abrams,25768,sa3010152,682928,3 Oct 2000,SS,L,R,18 Jun 2025,Projection,0.324,0.292,0.339,,,,,
37072,Michael Toglia,25845,sa3010393,669911,16 Aug 1998,1B/OF,B,L,18 Jun 2025,Projection,0.305,0.305,0.285,,,,,
37091,Spencer Horwitz,26477,sa1115496,687462,14 Nov 1997,1B/2B,L,R,18 Jun 2025,Projection,0.343,0.311,0.347,,,,,
37094,Vinnie Pasquantino,27676,sa1115762,686469,10 Oct 1997,1B,L,L,18 Jun 2025,Projection,0.354,0.321,0.355,,,,,
37098,Michael Massey,27684,sa1115910,686681,22 Mar 1998,2B,L,R,18 Jun 2025,Projection,0.314,0.282,0.308,,,,,
37174,Matt Wallner,26466,sa918808,670242,12 Dec 1997,OF,L,R,18 Jun 2025,Projection,0.330,0.291,0.340,,,,,
37181,Brett Baty,26123,sa3010869,683146,13 Nov 1999,2B/3B,L,R,18 Jun 2025,Projection,0.314,0.282,0.317,,,,,
37182,Corbin Carroll,25878,sa3010593,682998,21 Aug 2000,OF,L,L,18 Jun 2025,Projection,0.357,0.326,0.376,,,,,
37216,Spencer Steer,26323,sa3010586,668715,7 Dec 1997,1B/OF,R,R,18 Jun 2025,Projection,0.325,0.333,0.307,,,,,
37257,Adley Rutschman,26288,sa3011643,668939,6 Feb 1998,C,B,R,18 Jun 2025,Projection,0.339,0.341,0.335,,,,,
37295,Michael Harris II,25931,sa3010684,671739,7 Mar 2001,OF,L,L,18 Jun 2025,Projection,0.351,0.325,0.331,,,,,
37300,Kerry Carpenter,25961,sa3010689,681481,2 Sep 1997,OF,R,R,18 Jun 2025,Projection,0.340,0.303,0.350,,,,,
37427,Francisco Alvarez,26121,sa3010862,682626,19 Nov 2001,C,R,R,18 Jun 2025,Projection,0.330,0.339,0.309,,,,,
37469,Andrew Vaughn,26197,sa3011226,683734,3 Apr 1998,1B,R,R,18 Jun 2025,Projection,0.322,0.335,0.298,,,,,
37531,Bryson Stott,26294,sa3011443,681082,6 Oct 1997,2B/SS,L,R,18 Jun 2025,Projection,0.317,0.296,0.319,,,,,
37635,Jasson Domínguez,28080,sa3014696,691176,7 Feb 2003,OF,B,R,18 Jun 2025,Projection,0.325,0.321,0.308,,,,,
37662,Tyler Fitzgerald,26208,sa3011257,666149,15 Sep 1997,SS/OF,R,R,18 Jun 2025,Projection,0.300,0.311,0.292,,,,,
37786,Josh Jung,26299,sa3011468,673962,12 Feb 1998,3B,R,R,18 Jun 2025,Projection,0.315,0.329,0.307,,,,,
37797,JJ Bleday,26368,sa3011642,668709,10 Nov 1997,OF,L,L,18 Jun 2025,Projection,0.328,0.294,0.331,,,,,
37806,Gunnar Henderson,26289,sa3011484,683002,29 Jun 2001,SS,L,R,18 Jun 2025,Projection,0.372,0.334,0.378,,,,,
37841,Michael Busch,26319,sa3011540,683737,9 Nov 1997,1B,L,R,18 Jun 2025,Projection,0.322,0.290,0.341,,,,,
38127,Ha-Seong Kim,27506,sa3011918,673490,17 Oct 1995,SS,R,R,18 Jun 2025,Projection,0.319,0.330,0.323,,,,,
38311,Justin Foscue,27501,sa3014527,679822,2 Mar 1999,2B,R,R,18 Jun 2025,Projection,0.303,0.312,0.307,,,,,
38314,Nick Gonzales,27490,sa3014510,693304,27 May 1999,2B/SS,R,R,18 Jun 2025,Projection,0.316,0.320,0.313,,,,,
38317,Austin Wells,27562,sa3014440,669224,12 Jul 1999,C,L,R,18 Jun 2025,Projection,0.317,0.283,0.318,,,,,
38319,Heston Kjerstad,31166,sa3014439,677008,12 Feb 1999,OF,L,R,18 Jun 2025,Projection,0.319,0.291,0.310,,,,,
38321,Patrick Bailey,27478,sa3014442,672275,29 May 1999,C,B,R,18 Jun 2025,Projection,0.300,0.293,0.282,,,,,
38325,Garrett Mitchell,27555,sa3014438,669003,4 Sep 1998,OF,L,R,18 Jun 2025,Projection,0.320,0.287,0.317,,,,,
38327,Pete Crow-Armstrong,27769,sa3014458,691718,25 Mar 2002,OF,L,L,18 Jun 2025,Projection,0.302,0.276,0.330,,,,,
38366,Jordan Walker,27475,sa3014464,691023,22 May 2002,OF,R,R,18 Jun 2025,Projection,0.321,0.330,0.295,,,,,
38374,Colt Keith,27899,sa3014474,690993,14 Aug 2001,2B,L,R,18 Jun 2025,Projection,0.330,0.301,0.334,,,,,
