Ottoneu ID,Fangraphs ID,Name,Birthday,Positions,Bats,Throws,wOBA,wOBA vs LHP,wOBA vs RHP
37181,26123,Brett Baty,1999-11-13,2B/3B,L,R,,0.27863543757434117,0.3164818266380351
40463,29788,Brett Harris,1998-06-24,3B,R,R,,0.2996600780665168,0.29040168981301717
18441,14735,Brett Phillips,1994-05-30,Util,L,R,,0.21736392242556965,0.26613920911584227
21969,18217,Brett Sullivan,1994-02-22,C,L,R,,0.24952746580982263,0.27563222791639547
37125,27735,Brett Wisely,1999-05-08,2B/SS,L,R,,0.25490974390792115,0.2892598350090586
23758,18289,Brian Anderson,1993-05-19,Util,R,R,,0.274647816377686,0.2684034246041952
31600,19422,Brian Serven,1995-05-05,C,R,R,,0.2563666799523562,0.24467559024969718
44016,33280,Brice Matthews,2002-03-16,2B,R,R,,0.30045436157485955,0.28861963111631783
33634,22186,Brice Turang,1999-11-21,2B,L,R,,0.30026533672631334,0.3365615566570098
43974,sa3022499,Brock Wilken,2002-06-17,3B,R,R,,0.29067679426025866,0.27693782797837413
42219,31394,Brooks Baldwin,2000-08-15,2B/SS/3B/OF,B,R,,0.3187778645616378,0.3051298218533962
42146,31595,Brooks Lee,2001-02-14,2B/SS/3B,B,R,,0.3012274795883152,0.3053998204501146
20670,19600,Bryan De La Cruz,1996-12-16,OF,R,R,,0.29415491140632766,0.281150415408985
36849,25621,Bryan Ramos,2002-03-12,3B,R,R,,0.2799448887217541,0.2651872421809209
23825,19326,Bryan Reynolds,1995-01-27,OF,B,R,,0.3170494999020591,0.3251354146652366
23541,sa885119,Bryan Torres,1997-07-02,2B/OF,L,R,,0.2832598290956112,0.3233377074271404
44147,33390,Bryce Eldridge,2004-10-20,1B,L,R,,0.2743852922715428,0.3124754088068882
14982,11579,Bryce Harper,1992-10-16,1B,L,R,,0.34195309222467596,0.3799563823659879
26881,20002,Bryce Johnson,1995-10-27,OF,B,R,,0.28334480822113106,0.2751263887988383
45797,sa3066592,Bryce Rainer,2005-07-03,SS,L,R,,0.18622729863860985,0.22142930195437802
40204,29524,Bryce Teodosio,1999-06-18,OF,R,L,,0.26478131672970057,0.25665768137661005
37531,26294,Bryson Stott,1997-10-06,2B/SS,L,R,,0.29042769114571787,0.31779724911786766
26473,22261,Bubba Thompson,1998-06-09,Util,R,R,,0.2719641174713468,0.26085983847894073
26780,22505,Buddy Kennedy,1998-10-05,1B/3B,R,R,,0.3071561382741584,0.29446603937352817
18163,14161,Byron Buxton,1993-12-18,OF,R,R,,0.3518597968871514,0.33548809759088444
,18497,Byung-ho Park,1986-07-10,,R,R,,0.2774551785746973,0.2651858978190502
18109,12546,C.J. Cron,1990-01-05,Util,R,R,,0.3026608802222755,0.2915223695655205
36770,25505,Cade Marlowe,1997-06-24,OF,L,R,,0.24873905106098293,0.2895225881529285
33654,21534,Cal Raleigh,1996-11-26,C,B,R,,0.33463578933279414,0.3396759358823018
33655,22411,Cal Stevenson,1996-09-12,OF,L,L,,0.2590047076503186,0.2975627722763215
46397,sa3067043,Caleb Bonemer,2005-10-05,SS/3B,R,R,,0.27489888757963593,0.26419071491066026
40398,29646,Caleb Durbin,2000-02-22,2B/3B,R,R,,0.3161395484720923,0.30961075640519603
42359,sa3020131,Cam Collier,2004-11-20,1B/3B,L,R,,0.2434158797998473,0.286907963168073
28709,12981,Cam Gallagher,1992-12-06,Util,R,R,,0.24354907904649709,0.22873913169815183
45714,35108,Cam Smith,2003-02-22,OF,R,R,,0.315940670402022,0.30536449967072427
26578,23264,Canaan Smith-Njigba,1999-04-30,Util,L,R,,0.25388581434667623,0.29431151513996423
18160,14162,Carlos Correa,1994-09-22,SS/3B,R,R,,0.3479262895958657,0.32559623615084127
35541,21842,Carlos Cortes,1997-06-30,OF,L,B,,0.29644060869618793,0.3312404061541222
32084,19722,Carlos Narvaez,1998-11-26,C,R,R,,0.30729387950373493,0.2899694403579704
9791,10642,Carlos Perez,1990-10-27,C,R,R,,0.29662891005890185,0.2798867724573869
2933,2396,Carlos Santana,1986-04-08,1B,B,R,,0.30826915028598645,0.2950579264664977
45947,sa3025452,Carson Benge,2003-01-20,OF,L,R,,0.2833252915281283,0.3157999515440116
23714,13620,Carson Kelly,1994-07-14,C,R,R,,0.32732010353634905,0.3108897451927869
43829,33098,Carson McCusker,1998-05-22,OF,R,R,,0.27572976752952155,0.25773552548703843
40266,30038,Carson Williams,2003-06-25,SS,R,R,,0.283623544476248,0.2692016098755834
40505,29478,Carter Jensen,2003-07-03,C,L,R,,0.28695018830919744,0.3178186294143412
23771,19958,Carter Kieboom,1997-09-03,1B,R,R,,0.29530222295277,0.2766547344591775
38383,27577,Casey Schmitt,1999-03-01,1B/2B/3B,R,R,,0.315101397040758,0.30075669586441844
23737,19252,Cavan Biggio,1995-04-11,1B/2B/OF,L,R,,0.25333237086096194,0.29005779402753834
33907,24262,Ceddanne Rafaela,2000-09-18,2B/OF,R,R,,0.30240801268194994,0.30019024562296714
22616,17929,Cedric Mullins,1994-10-01,OF,B,L,,0.2722964653505034,0.30403024045063104
9092,10556,Cesar Hernandez,1990-05-23,Util,B,R,,0.2671297454204954,0.25776365406125024
18633,15191,Chad Pinder,1992-03-29,Util,R,R,,0.2986162659003652,0.2803744516828735
27915,17161,Chad Wallach,1991-11-04,C,R,R,,0.2630428438442051,0.24824730300674794
20178,16953,Chadwick Tromp,1995-03-21,C,R,R,,0.2693844840063457,0.25555785168941336
42416,31912,Chandler Simpson,2000-11-18,OF,L,R,,0.28377963798194583,0.3079129768485127
47628,sa3029860,Charles Davalan,2003-12-16,Util,L,R,,0.24406217506755953,0.2881585356412552
31435,19813,Charles Leblanc,1996-06-03,Util,R,R,,0.3066513091195309,0.2919192371250729
45715,sa3025257,Charlie Condon,2003-04-14,1B,R,R,,0.2999730735143085,0.28885474586625937
26504,19599,Chas McCormick,1995-04-19,OF,R,L,,0.3090779632976923,0.29058350781461056
42176,32127,Chase DeLauter,2001-10-08,OF,L,L,,0.32205318453395987,0.3545554607270728
42304,31580,Chase Meidroth,2001-07-23,2B/SS,R,R,,0.32380490847285043,0.3129761541007366
17531,10030,Chris Owings,1991-08-12,Util,R,R,,0.27763730021069843,0.2614075179779937
18341,13757,Chris Taylor,1990-08-29,2B/OF,R,R,,0.2793694689404613,0.27430155469646744
19254,16434,Christian Arroyo,1995-05-30,1B,R,R,,0.27065670017420224,0.2635649924428517
18048,10028,Christian Bethancourt,1991-09-02,C,R,R,,0.2652528482749799,0.25208044898890236
40748,30011,Christian Encarnacion-Strand,1999-12-01,1B/3B,R,R,,0.3041396788458689,0.2963726026090231
40604,sa3017510,Christian Franklin,1999-11-30,OF,R,R,,0.30001020720537924,0.28877162169891035
37631,27653,Christian Koss,1998-01-27,2B/3B,R,R,,0.2790253409649551,0.27376913783664314
45708,34979,Christian Moore,2002-10-21,2B,R,R,,0.30739863432334436,0.29303610737733515
5723,9774,Christian Vazquez,1990-08-21,C,R,R,,0.28084627714533505,0.27573787329550303
18389,13419,Christian Walker,1991-03-28,1B,R,R,,0.3309228582813567,0.3192365694619452
14893,11477,Christian Yelich,1991-12-05,OF,L,R,,0.30357240279290154,0.3433611975164986
26080,21897,Christopher Morel,1999-06-24,OF,R,R,,0.31787166091331054,0.30311047998137525
36922,25768,CJ Abrams,2000-10-03,SS,L,R,,0.29200983820796556,0.34505073060847075
44348,33704,CJ Kayfus,2001-10-28,1B/OF,L,L,,0.283507320877065,0.31892019488709616
18246,15983,Clint Frazier,1994-09-06,Util,R,R,,0.2825745703357102,0.2684068000276566
38378,28312,Coby Mayo,2001-12-10,1B,R,R,,0.32013676937985214,0.3020866407993349
34654,21547,Coco Montes,1996-10-07,2B/3B/OF,R,R,,0.2834472664147147,0.2699762156380718
19328,15998,Cody Bellinger,1995-07-13,OF,L,L,,0.32391931904134375,0.34489363960344716
36923,25629,Cody Freeman,2001-01-05,2B/3B,R,R,,0.30337965629914593,0.29268341471530207
31420,19828,Cody Thomas,1994-10-08,Util,L,R,,0.25381429110738235,0.2951792731034145
42746,31855,Colby Thomas,2001-01-26,OF,R,R,,0.3104545902149997,0.2972627768707082
44039,sa3022596,Cole Carrigg,2002-05-08,OF,B,R,,0.2857994593708943,0.28452507387178105
18377,17326,Cole Tucker,1996-07-03,Util,B,R,,0.2614197708250717,0.2576877684960401
42582,31680,Cole Young,2003-07-29,2B/SS,L,R,,0.29391455765425584,0.3234128089350051
18247,16909,Colin Moran,1992-10-01,Util,L,R,,0.2510412726444363,0.2926090076419562
40262,29712,Colson Montgomery,2002-02-27,SS/3B,L,R,,0.28459784326750737,0.3143674727406508
44248,sa3022923,Colt Emerson,2005-07-20,SS,L,R,,0.25957544102210356,0.3033293395791387
38374,27899,Colt Keith,2001-08-14,1B/2B/3B,L,R,,0.29362474767304353,0.3333883107900049
39978,29591,Colton Cowser,2000-03-20,OF,L,R,,0.27218352467616236,0.30810808605056794
32624,19983,Conner Capel,1997-05-19,OF,L,L,,0.24295996149114749,0.27900174014576745
20332,16572,Connor Joe,1992-08-16,OF,R,R,,0.30564095262522123,0.2917812042868483
40284,29592,Connor Norby,2000-06-08,3B,R,R,,0.3081714941241291,0.29781871419346995
31713,19896,Connor Wong,1996-05-19,C,R,R,,0.2964640230760244,0.2877882190067122
32851,19458,Cooper Hummel,1994-11-28,OF,B,R,,0.3074198024533706,0.29597827469180576
44349,sa3023069,Cooper Ingle,2002-02-23,C,L,R,,0.280708617383047,0.32897435915450013
44202,sa3022867,Cooper Pratt,2004-08-18,SS,R,R,,0.28399832987357154,0.27485780398935034
37182,25878,Corbin Carroll,2000-08-21,OF,L,L,,0.3274778514444917,0.3634975787237344
13999,10762,Corey Dickerson,1989-05-22,Util,L,R,,0.2363754959759433,0.2816266294935401
31848,20311,Corey Julks,1996-02-27,OF,R,R,,0.29643231509645157,0.2853450160845684
18216,13624,Corey Seager,1994-04-27,SS,L,R,,0.30930461147023736,0.36070562832027087
46094,sa3066593,Cris Rodriguez,2008-01-28,OF,R,R,,0.20422705472177335,0.1955076170061364
32027,19948,Cristian Pache,1998-11-19,OF,R,R,,0.27909326014158636,0.2548533082333604
18512,12510,Curt Casali,1988-11-09,Util,R,R,,0.2930696420971536,0.28015441380997297
35725,23986,Curtis Mead,2000-10-26,1B/2B/3B,R,R,,0.3209375596722472,0.30825468883031704
33735,19779,Dairon Blanco,1993-04-26,OF,R,R,,0.29001218618920843,0.27853210891724467
42193,31382,Dalton Rushing,2001-02-21,C,L,R,,0.28916998103305486,0.3249121556016212
40492,sa3017326,Damiano Palmegiani,2000-01-24,1B,R,R,,0.27153805071297377,0.2618634649590682
18192,14130,Dan Vogelbach,1992-12-17,Util,L,R,,0.2697057047339324,0.32846313038872205
31947,22054,Dane Myers,1996-03-08,OF,R,R,,0.30101471096418386,0.28676514697181904
32628,19643,Daniel Johnson,1995-07-11,OF,L,L,,0.25538201160257606,0.2866486367963862
18399,14145,Daniel Robertson,1994-03-22,Util,R,R,,0.2765203424968549,0.2664138076035135
34843,25180,Daniel Schneemann,1997-01-23,2B/SS/3B/OF,L,R,,0.26240876879081826,0.29722611843457025
42178,sa3019997,Daniel Susac,2001-05-14,C,R,R,,0.29362394626212607,0.28049537309920597
19481,16535,Danny Jansen,1995-04-15,C,R,R,,0.3137171024860308,0.3020115391653925
22863,18889,Danny Mendick,1993-09-28,Util,R,R,,0.28924882332614327,0.2752403991391846
18506,18314,Dansby Swanson,1994-02-11,SS,R,R,,0.3214676641317515,0.3084631160658238
37687,26224,Darell Hernaiz,2001-08-03,2B/SS/3B,R,R,,0.3095559289196914,0.2979954670352913
32771,19717,Darick Hall,1995-07-25,1B,L,R,,0.24176714437453425,0.28493773042273735
5845,9929,Darin Ruf,1986-07-28,Util,R,R,,0.3009908964274403,0.27928786903148495
23833,19918,Daulton Varsho,1996-07-02,OF,L,R,,0.28265240800235647,0.3181718409603584
26414,23250,David Banuelos,1996-10-01,Util,R,R,,0.2661161646932762,0.2541583093307966
30682,14593,David Bote,1993-04-07,Util,R,R,,0.2899404602490346,0.27926050199557956
18165,13744,David Dahl,1994-04-01,Util,L,R,,0.24977338194475024,0.2952243074063436
22045,17992,David Fletcher,1994-05-31,2B/3B,R,R,,0.2542400156747647,0.2428097293369396
34707,24934,David Fry,1995-11-20,Util,R,R,,0.30848166169424607,0.29179241085168567
38344,27531,David Hamilton,1997-09-29,2B/SS,L,R,,0.2552536095967554,0.2902092902388828
34672,25111,David Hensley,1996-03-28,Util,R,R,,0.2830749272871277,0.26336544911460197
9058,2136,David Peralta,1987-08-14,Util,L,L,,0.2564507681708749,0.2981905354236807
34962,24782,David Villar,1997-01-27,1B,R,R,,0.2985458945212386,0.2832245856592479
26734,23565,Davis Schneider,1999-01-26,2B/OF,R,R,,0.3198619707124383,0.3121710382880576
,3917,Dayan Viciedo,1989-03-10,,R,R,,0.2907713330448086,0.2822600297066602
40714,29995,Daylen Lile,2002-11-30,OF,L,R,,0.2904200853788051,0.32591657190678347
18511,18353,Daz Cameron,1997-01-15,OF,R,R,,0.3062069375884879,0.2930659881335678
17933,11379,Delino Deshields Jr.,1992-08-16,OF,R,R,,0.28331330210878136,0.26930302061245043
,sa917935,Delvin Perez,1998-11-24,,R,R,,0.2647107017268002,0.25521832288566315
40562,29858,Denzel Clarke,2000-05-01,OF,R,R,,0.2865364308561736,0.2728068913049529
39283,28816,Denzer Guzman,2004-02-08,SS/3B,R,R,,0.28033588972475093,0.26766836676782835
18376,16947,Derek Hill,1995-12-30,OF,R,R,,0.29267190260199905,0.27628189228042055
23494,20926,Dermis Garcia,1998-01-07,Util,R,R,,0.2865596175432904,0.2678479730893047
38818,sa3015168,Deyvison De Los Santos,2003-06-21,1B/3B,R,R,,0.30107583704350865,0.2857149851884604
33674,sa3008742,Diego Cartaya,2001-09-07,C,R,R,,0.2549767779483703,0.24281301325751448
22383,19906,Diego Castillo,1997-10-28,3B,R,R,,0.2952218687106904,0.2795460745538608
38308,27464,Dillon Dingler,1998-09-17,C,R,R,,0.31919215359270076,0.30592630671517457
9673,11472,Dixon Machado,1992-02-22,SS/3B,R,R,,0.2676415871830099,0.25486598919898656
4953,9874,DJ LeMahieu,1988-07-13,2B,R,R,,0.30737817691895875,0.2945138928271303
30877,17766,DJ Stewart,1993-11-30,Util,L,R,,0.25184986671364007,0.2999830070667338
19333,15055,Dom Nunez,1995-01-17,C,L,R,,0.2176358972335578,0.2518386854243291
,10348,Domingo Santana,1992-08-05,,R,R,,0.3163624852466167,0.3000843791442759
37536,26438,Dominic Canzone,1997-08-16,OF,L,R,,0.29113905523657196,0.3336623067469718
37535,26149,Dominic Fletcher,1997-09-02,OF,L,L,,0.25289579982003757,0.29043956777799895
42393,sa3020194,Dominic Keegan,2000-08-01,C,R,R,,0.28156038760186486,0.27008497395317216
18300,15653,Dominic Smith,1995-06-15,1B/OF,L,L,,0.2803845434444386,0.31273828766913975
2885,8623,Donovan Solano,1987-12-17,1B,R,R,,0.29804617917611675,0.2878694684855657
42221,31539,Drake Baldwin,2001-03-28,C,L,R,,0.3242360584485676,0.35052460158040977
34844,25183,Drew Avans,1996-06-13,OF,L,L,,0.24660834284585018,0.2792038916369897
26833,19873,Drew Ellis,1995-12-01,1B/3B,R,R,,0.2989239287962305,0.28076059496705574
42276,31545,Drew Gilbert,2000-09-27,OF,L,L,,0.269557771597044,0.3068397480364078
38375,25643,Drew Millas,1998-01-15,C,B,R,,0.2803746793547939,0.2866286151458768
38417,27763,Drew Romo,2001-08-29,C,B,R,,0.28876642848044326,0.285764457589951
26648,20505,Drew Waters,1998-12-30,OF,B,R,,0.283484149058256,0.28865954100736013
42105,sa3020676,Druw Jones,2003-11-28,OF,R,R,,0.27588830934050357,0.26331890275069125
36991,25705,Dustin Harris,1999-07-08,OF,L,R,,0.26098612465237797,0.29337894493248756
19265,15189,Dustin Peterson,1994-09-10,Util,R,R,,0.27605706065508534,0.26436800461853255
42279,31695,Dylan Beavers,2001-08-11,OF,L,R,,0.2927082735088389,0.32375084698987366
32580,20126,Dylan Carlson,1998-10-23,OF,B,L,,0.30259873045694063,0.29738650261364014
43950,33541,Dylan Crews,2002-02-26,OF,R,R,,0.30594438387950484,0.29651604155271943
