Ottoneu ID,Name,FG ID,FG Minor ID,MLBAM ID,Birthday,Positions,Bats,Throws,Last Check,Confidence,FIP,vs LHB,vs RHB,Type
18201,José Berríos,14168,sa657852,621244,27 May 1994,SP,R,R,18 Jun 2025,Projection,4.28,0.332,0.321,
18236,Tyler Glasnow,14374,sa597835,607192,23 Aug 1993,SP,L,R,18 Jun 2025,Projection,2.71,0.278,0.279,
18244,Jon Gray,14916,sa549112,592351,5 Nov 1991,SP,R,R,18 Jun 2025,Projection,3.88,0.330,0.299,
18257,Sean Manaea,15873,sa709610,640455,1 Feb 1992,SP,R,L,18 Jun 2025,Projection,3.91,0.290,0.326,
18355,Luis Severino,15890,sa657781,622663,20 Feb 1994,SP,R,R,18 Jun 2025,Projection,4.20,0.335,0.317,
18357,Aaron Nola,16149,sa599230,605400,4 Jun 1993,SP,R,R,18 Jun 2025,Projection,3.50,0.312,0.302,
18359,Carlos Rodón,16137,sa598286,607074,10 Dec 1992,SP,L,L,18 Jun 2025,Projection,3.35,0.273,0.303,
18398,Chris Bassitt,12304,sa598294,605135,22 Feb 1989,SP,R,R,18 Jun 2025,Projection,3.82,0.322,0.309,
18415,Reynaldo López,16400,sa696415,625643,4 Jan 1994,SP,R,R,18 Jun 2025,Projection,3.65,0.317,0.293,
18449,Nick Martinez,12730,sa599574,607259,5 Aug 1990,SP/RP,L,R,18 Jun 2025,Projection,4.11,0.330,0.319,
18460,Blake Snell,13543,sa597786,605483,4 Dec 1992,SP,L,L,18 Jun 2025,Projection,3.32,0.286,0.298,
18465,Matthew Boyd,15440,sa621603,571510,2 Feb 1991,SP,L,L,18 Jun 2025,Projection,3.82,0.272,0.321,
18534,Erick Fedde,17425,sa599293,607200,25 Feb 1993,SP,R,R,18 Jun 2025,Projection,4.95,0.337,0.323,
18786,Pablo López,17085,sa736473,641154,7 Mar 1996,SP,L,R,18 Jun 2025,Projection,3.26,0.305,0.288,
19168,Freddy Peralta,18679,sa737343,642547,4 Jun 1996,SP,R,R,18 Jun 2025,Projection,3.62,0.312,0.300,
19398,Nick Pivetta,15454,sa737889,601713,14 Feb 1993,SP,R,R,18 Jun 2025,Projection,3.42,0.305,0.299,
20732,Sandy Alcantara,18684,sa828383,645261,7 Sep 1995,RP,R,R,18 Jun 2025,Projection,3.57,0.328,0.299,
20920,Jack Flaherty,17479,sa828681,656427,15 Oct 1995,SP,R,R,18 Jun 2025,Projection,3.69,0.325,0.296,
20936,Mitch Keller,17594,sa828700,656605,4 Apr 1996,SP,R,R,18 Jun 2025,Projection,3.81,0.322,0.310,
20975,Cristopher Sánchez,20778,sa828749,650911,12 Dec 1996,SP,L,L,18 Jun 2025,Projection,3.15,0.270,0.303,
21015,Logan Webb,17995,sa828873,657277,18 Nov 1996,SP,R,R,18 Jun 2025,Projection,3.10,0.309,0.285,
21052,Dylan Cease,18525,sa829000,656302,28 Dec 1995,SP,R,R,18 Jun 2025,Projection,3.27,0.294,0.294,
22426,Framber Valdez,17295,sa873146,664285,19 Nov 1993,SP,R,L,18 Jun 2025,Projection,2.99,0.262,0.298,
23144,Jeffrey Springs,17677,sa876019,605488,20 Sep 1992,SP,L,L,18 Jun 2025,Projection,4.12,0.306,0.328,
23373,Luis Gil,21052,sa877821,661563,3 Jun 1998,SP,R,R,18 Jun 2025,Projection,3.98,0.322,0.305,
23612,Zach Eflin,13774,sa657853,621107,8 Apr 1994,SP,R,R,18 Jun 2025,Projection,3.69,0.331,0.297,
23625,Cole Ragans,21846,sa917938,666142,12 Dec 1997,SP,L,L,18 Jun 2025,Projection,3.06,0.256,0.290,
23688,Germán Márquez,15038,sa656016,608566,22 Feb 1995,SP/RP,R,R,18 Jun 2025,Projection,4.02,0.337,0.311,
23693,Brandon Woodruff,16162,sa597893,605540,10 Feb 1993,RP,L,R,18 Jun 2025,Projection,3.60,0.319,0.298,
23701,Seth Lugo,12447,sa599698,607625,17 Nov 1989,SP,R,R,18 Jun 2025,Projection,3.86,0.326,0.311,
23732,Luis Castillo,15689,sa657487,622491,12 Dec 1992,SP,R,R,18 Jun 2025,Projection,3.82,0.328,0.300,
23741,Jesús Luzardo,19959,sa917981,666200,30 Sep 1997,SP,L,L,18 Jun 2025,Projection,3.48,0.266,0.313,
23779,Zac Gallen,19291,sa857550,668678,3 Aug 1995,SP,R,R,18 Jun 2025,Projection,3.85,0.318,0.318,
23810,MacKenzie Gore,22201,sa3005068,669022,24 Feb 1999,SP,L,L,18 Jun 2025,Projection,3.20,0.265,0.300,
23811,Tanner Houck,19879,sa829037,656557,29 Jun 1996,SP,R,R,18 Jun 2025,Projection,3.73,0.323,0.307,
23813,Corbin Burnes,19361,sa873673,669203,22 Oct 1994,SP,R,R,18 Jun 2025,Projection,3.34,#N/A,#N/A,
23824,Hunter Greene,22182,sa3005315,668881,6 Aug 1999,SP,R,R,18 Jun 2025,Projection,3.36,0.304,0.291,
26903,Kutter Crawford,20531,sa3004798,676710,1 Apr 1996,SP,R,R,18 Jun 2025,Projection,4.05,0.326,0.295,
31194,Ranger Suárez,17277,sa659551,624133,26 Aug 1995,SP,R,R,18 Jun 2025,Projection,3.34,0.267,0.311,
31541,David Peterson,20302,sa829588,656849,3 Sep 1995,SP,L,L,18 Jun 2025,Projection,3.71,0.289,0.323,
31751,Michael King,19853,sa874220,650633,25 May 1995,SP,R,R,18 Jun 2025,Projection,3.41,0.316,0.288,
32009,José Soriano,22100,sa916702,667755,20 Oct 1998,SP,R,R,18 Jun 2025,Projection,3.50,0.318,0.307,
32611,Dustin May,19716,sa917992,669160,6 Sep 1997,RP,R,R,18 Jun 2025,Projection,3.69,0.326,0.296,
32966,Bailey Ober,21224,sa918555,641927,12 Jul 1995,SP,R,R,18 Jun 2025,Projection,4.08,0.326,0.312,
33325,Edward Cabrera,21690,sa920423,665795,13 Apr 1998,SP,R,R,18 Jun 2025,Projection,3.73,0.319,0.304,
33612,Grayson Rodriguez,24492,sa3008130,680570,16 Nov 1999,SP,L,R,18 Jun 2025,Projection,3.35,0.307,0.294,
33616,Casey Mize,20492,sa3008444,663554,1 May 1997,SP,R,R,18 Jun 2025,Projection,3.91,0.327,0.314,
33620,Brady Singer,25377,sa3008613,663903,4 Aug 1996,SP,R,R,18 Jun 2025,Projection,3.92,0.329,0.316,
33647,Shane McClanahan,21483,sa3008547,663556,28 Apr 1997,RP,L,L,18 Jun 2025,Projection,3.13,0.263,0.296,
33656,Yusei Kikuchi,20633,,579328,17 Jun 1991,SP,L,L,18 Jun 2025,Projection,3.45,0.275,0.312,
33679,Clarke Schmidt,19899,sa3007582,657376,20 Feb 1996,SP,R,R,18 Jun 2025,Projection,3.78,0.318,0.304,
33682,Logan Gilbert,22250,sa3008598,669302,5 May 1997,SP,R,R,18 Jun 2025,Projection,3.19,0.299,0.286,
33767,Brayan Bello,23920,sa3005436,678394,17 May 1999,SP,R,R,18 Jun 2025,Projection,3.67,0.322,0.310,
35196,Joe Ryan,21390,sa3007584,657746,5 Jun 1996,SP,R,R,18 Jun 2025,Projection,3.32,0.300,0.287,
35204,Tarik Skubal,22267,sa3007593,669373,20 Nov 1996,SP,R,L,18 Jun 2025,Projection,2.67,0.240,0.274,
35367,Taj Bradley,22543,sa3007839,671737,20 Mar 2001,SP,R,R,18 Jun 2025,Projection,3.81,0.319,0.306,
35473,Tylor Megill,21318,sa3007988,656731,28 Jul 1995,SP,R,R,18 Jun 2025,Projection,3.62,0.316,0.286,
35617,Ryan Feltner,21446,sa3008222,663372,2 Sep 1996,SP,R,R,18 Jun 2025,Projection,3.88,0.326,0.313,
35808,Reese Olson,24968,sa3008513,681857,31 Jul 1999,SP,R,R,18 Jun 2025,Projection,3.56,0.318,0.305,
36671,George Kirby,25436,sa3011526,669923,4 Feb 1998,SP,R,R,18 Jun 2025,Projection,3.34,0.309,0.297,
36686,Nick Lodolo,26378,sa917947,666157,5 Feb 1998,SP,L,L,18 Jun 2025,Projection,3.41,0.276,0.311,
37201,Hunter Brown,25880,sa3010571,686613,29 Aug 1998,SP,R,R,18 Jun 2025,Projection,3.19,0.300,0.288,
37649,Ryan Pepiot,26221,sa3011244,686752,21 Aug 1997,SP,R,R,18 Jun 2025,Projection,3.82,0.317,0.304,
38312,Garrett Crochet,27463,,676979,21 Jun 1999,SP,L,L,18 Jun 2025,Projection,2.62,0.239,0.273,
38328,Reid Detmers,27468,sa3014425,672282,8 Jul 1999,SP,L,L,18 Jun 2025,Projection,3.65,#N/A,0.295,
38699,Brandon Pfaadt,27782,sa3014983,694297,15 Oct 1998,SP,R,R,18 Jun 2025,Projection,3.95,0.327,0.313,
38736,Spencer Strider,27498,sa3015059,675911,28 Oct 1998,SP/RP,R,R,18 Jun 2025,Projection,2.95,0.285,0.273,
40550,Bryce Miller,29837,sa3017414,682243,23 Aug 1998,SP,R,R,18 Jun 2025,Projection,4.04,0.328,0.315,
40607,Andrew Abbott,29911,sa3017529,671096,1 Jun 1999,SP,L,L,18 Jun 2025,Projection,4.06,0.289,0.326,
40978,Tanner Bibee,30134,sa3018170,676440,5 Mar 1999,SP,R,R,18 Jun 2025,Projection,3.91,0.322,0.308,
41042,Bryan Woo,30279,sa3018290,693433,30 Jan 2000,SP,R,R,18 Jun 2025,Projection,3.66,0.316,0.303,
42110,Kumar Rocker,31843,sa3020827,677958,22 Nov 1999,SP/RP,R,R,18 Jun 2025,Projection,3.43,0.314,0.296,
42723,Kodai Senga,31838,,673540,30 Jan 1993,RP,L,R,18 Jun 2025,Projection,3.77,0.318,0.305,
42737,Spencer Schwellenbach,31846,sa3020703,680885,31 May 2000,SP,R,R,18 Jun 2025,Projection,3.26,0.303,0.291,
43894,Paul Skenes,33677,sa3023079,694973,29 May 2002,SP,R,R,18 Jun 2025,Projection,2.69,0.277,0.266,
44525,Yoshinobu Yamamoto,33825,sa3023345,808967,17 Aug 1998,SP,R,R,18 Jun 2025,Projection,3.06,0.295,0.283,
44526,Shota Imanaga,33829,sa3023346,684007,1 Sep 1993,SP,L,L,18 Jun 2025,Projection,3.73,0.279,0.317,
